,country,latitude,longitude,charging_points
country,1.0,0.3113911353445803,0.5340736948107007,0.1352641519433163
latitude,0.3113911353445803,1.0,-0.08032259727206438,0.10392847417651539
longitude,0.5340736948107007,-0.08032259727206438,1.0,0.06259997438824647
charging_points,0.1352641519433163,0.10392847417651539,0.06259997438824647,1.0
