AddressInfo.ContactTelephone2,count
,38126
0120-975-214,37
3463109626,4
+49 331 661 3100,4
7448145050,3
0850736070,2
1800224344,2
1-888-356-8911,2
+18144351037,1
(888) 336-3194,1
