AddressInfo.ContactTelephone1,count
,25468
888-758-4389,2249
855-999-8378,2231
888-356-8911,854
088 0109500,651
0800-3745337,587
0800-3522365,561
877-798-3752,440
313-262-6722,383
888-998-2546,293
