column,q1,q3,iqr,outlier_count
country,2.0,159.0,157.0,0
latitude,45.439980500000004,52.38404,6.9440594999999945,4841
longitude,-69.436306,9.006279,78.44258500000001,1643
charging_points,1.0,2.0,1.0,7401
