year,value,yoy_pct
2010,70052.0,
2011,282222.0,302.875007137555
2012,738740.0,161.75847382556995
2013,1467626.0,98.6661071554268
2014,2552744.4000000954,73.9369839455076
2015,4538882.0,77.80401359414716
2016,6807394.0,49.97953240467587
2017,10502347.0,54.27852420471035
2018,16974905.0,61.629633833275555
2019,22424481.0,32.103720168095194
2020,86668701.0,286.49144655789354
2021,151416695.0,74.70747023195837
2022,237186368.0,56.644792702680505
2023,348574890.0,46.96244684686095
2025,397295188.0,13.976995875979469
2030,1129176270.0,184.21594424143893
2035,2276586200.0,101.61477534415417
