column,count,mean,std,min,25%,50%,75%,max
year,2975.0,2018.807731092437,4.886885342148029,2010.0,2015.0,2019.0,2022.0,2035.0
value,2975.0,1577567.6320672268,14028856.73297506,1.0,200.0,3800.0,61000.0,440000000.0
