country,latitude,longitude,charging_points
2,42.22070104302301,-71.03023529709515,10
2,33.80414561983247,-118.19114898936532,8
2,40.21874596325529,-79.61042906763407,6
2,44.84692742359198,-74.31801271535204,4
2,42.15730538759621,-71.00790541223193,6
2,42.59284492249955,-86.21131811480666,1
2,41.85477299999829,-71.23915290422161,6
2,41.60015375610001,-87.58869046175374,4
2,33.57754052207173,-101.95121616897676,2
2,32.92096413890404,-96.96644199064116,6
2,42.328625068452794,-83.062223710936,2
2,38.92535354089912,-77.03793077450996,2
2,43.660709722676955,-70.24721195237453,1
2,42.29000923312384,-71.06254265503878,1
2,42.37516800000094,-71.06173700000113,1
2,42.34529859081462,-71.08933796283134,1
2,42.323179909787086,-71.10528181920648,1
2,42.312182,-71.099403,1
2,42.29349954664585,-71.12137338360776,1
2,42.27193705724173,-71.06491863311862,1
2,41.49838954138053,-74.01197591014022,2
2,41.49677179937379,-74.0115366951315,2
2,34.062697971310484,-118.30423847725274,5
2,37.77010941035398,-122.4302996962988,2
2,42.3238542084255,-83.06572699308151,2
2,42.31986533121312,-88.95719106155178,4
2,29.98179217831432,-95.2809987173854,2
2,44.402617102266674,-72.02255718947674,12
2,41.72380671518883,-87.79812612573704,6
2,43.610893,-70.360567,2
2,40.98236827478735,-111.90890471488648,8
2,33.85624583878109,-84.59531971904244,6
2,33.356182118835875,-84.12232579946226,10
2,39.22939068558978,-77.28527851166302,10
2,26.45583525290003,-80.1907054554041,10
2,42.15383478508773,-71.20426006235971,6
2,42.76454392023578,-84.51702970731071,10
2,35.48000367012642,-80.87370567993247,4
2,27.63876549777575,-80.5110766184722,14
2,30.285182299790037,-81.98359368939083,12
2,33.552514,-83.47483199999999,12
2,41.66270510740051,-88.12598125341617,6
2,30.79352098324142,-81.6659099420026,8
2,37.38788654792917,-120.73775696317888,12
2,38.55794133480981,-121.53900481434108,4
2,41.9997288709437,-87.8832333570698,1
2,26.09223790874698,-80.13552733429714,1
2,36.679039,-121.640559,2
2,27.93708193754918,-82.28036838585001,4
2,37.63626729153806,-122.05559377499212,4
2,38.61902126369526,-121.2675836532477,4
2,32.81158644363721,-111.67015000000583,16
2,31.66073820862725,-106.24182201706152,12
2,39.76116790002641,-89.60666224595309,12
2,39.21043937465754,-94.681545977253,6
2,33.85566372511876,-84.5998885577855,12
2,28.23698859272227,-82.34938787017086,8
2,42.88633128193686,-72.55628884386732,8
2,29.707686603584463,-98.65679556469227,8
2,34.96990491511198,-80.99405778852048,16
2,30.334313,-81.60267299999998,8
2,28.654806706437427,-81.22298135120894,8
2,27.499087910044295,-82.50848879804073,10
2,34.189102,-79.82607100000001,8
2,42.00651810516308,-88.1450247174821,6
2,42.35515179719167,-88.26770635548826,6
2,32.91874703582266,-85.11659524767555,12
2,31.49035725974258,-97.17033983105516,10
2,43.57623422246115,-89.78103141830559,10
2,41.81735032522115,-72.86357472139952,10
2,31.231129846763608,-81.49995351235322,16
2,36.81090450786938,-97.3365181542793,6
