Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2018-11-29 00:00:00-05:00,39.6927840259795,40.0649038762231,38.7351954599368,39.0378532409668,54917200,0.04,0.0,NVDA
2018-11-29 00:00:00-05:00,23.1333332061768,23.1666679382324,22.6366672515869,22.7446670532227,46210500,0.0,0.0,TSLA
2018-11-30 00:00:00-05:00,39.1346053033421,40.6503736855246,38.6310033952974,40.5436973571777,72956400,0.0,0.0,NVDA
2018-11-30 00:00:00-05:00,22.788667678833,23.4400005340576,22.550666809082,23.3653335571289,84436500,0.0,0.0,TSLA
2018-12-03 00:00:00-05:00,42.8186015022608,43.3346044745578,41.5136985237683,42.1835136413574,89080400,0.0,0.0,NVDA
2018-12-03 00:00:00-05:00,24.0,24.3999996185303,23.466667175293,23.8993320465088,124597500,0.0,0.0,TSLA
2018-12-04 00:00:00-05:00,41.7369644373677,41.7865796611185,38.8245049998733,38.9758338928223,81211200,0.0,0.0,NVDA
2018-12-04 00:00:00-05:00,23.7366676330566,24.5786666870117,23.466667175293,23.9799995422363,126928500,0.0,0.0,TSLA
2018-12-06 00:00:00-05:00,37.5692320182381,39.3181965990017,37.412940422666,39.2685775756836,69230800,0.0,0.0,NVDA
2018-12-06 00:00:00-05:00,23.7339992523193,24.492000579834,23.3840007781982,24.2040004730225,117637500,0.0,0.0,TSLA
2018-12-07 00:00:00-05:00,39.3107443207909,39.4124542072894,36.1253953900383,36.6190757751465,68167600,0.0,0.0,NVDA
2018-12-07 00:00:00-05:00,24.6000003814697,25.2993335723877,23.8433322906494,23.8646678924561,172668000,0.0,0.0,TSLA
2018-12-10 00:00:00-05:00,36.1700487922218,37.9214922134997,36.1328345374073,37.6734123229981,62947200,0.0,0.0,NVDA
2018-12-10 00:00:00-05:00,24.0,24.3986663818359,23.541332244873,24.3433322906494,99202500,0.0,0.0,TSLA
2018-12-11 00:00:00-05:00,38.5913140647673,38.6731808975267,35.9715905580645,36.7629661560059,67191200,0.0,0.0,NVDA
2018-12-11 00:00:00-05:00,24.6606674194336,24.8113327026367,24.0153331756592,24.4506664276123,94632000,0.0,0.0,TSLA
2018-12-12 00:00:00-05:00,36.8200172547612,37.9016457393619,35.9269319114442,36.939094543457,65413600,0.0,0.0,NVDA
2018-12-12 00:00:00-05:00,24.6280002593994,24.7940006256104,24.3439998626709,24.4400005340576,75405000,0.0,0.0,TSLA
2018-12-13 00:00:00-05:00,37.4079691345295,38.0504989984497,36.5769036812491,36.9366188049316,47138400,0.0,0.0,NVDA
2018-12-13 00:00:00-05:00,24.6766662597656,25.1626663208008,24.4500007629395,25.1193332672119,110488500,0.0,0.0,TSLA
2018-12-14 00:00:00-05:00,36.5198573035712,37.3583651028189,36.095638851493,36.3313140869141,47182000,0.0,0.0,NVDA
2018-12-14 00:00:00-05:00,25.0,25.191333770752,24.288667678833,24.3806667327881,95064000,0.0,0.0,TSLA
2018-12-17 00:00:00-05:00,36.0311296852472,36.7530393904044,35.0388099848203,35.6193161010742,66286800,0.0,0.0,NVDA
2018-12-17 00:00:00-05:00,24.1333332061768,24.3799991607666,22.9253330230713,23.2280006408691,115110000,0.0,0.0,TSLA
2018-12-18 00:00:00-05:00,36.0584194195083,37.2938564137323,35.7855299817443,36.4528656005859,56437200,0.0,0.0,NVDA
2018-12-18 00:00:00-05:00,23.3693332672119,23.4366664886475,22.246000289917,22.4686660766602,106500000,0.0,0.0,TSLA
2018-12-19 00:00:00-05:00,36.1154722715355,36.6513257636645,33.8455389168494,34.3615455627441,74536400,0.0,0.0,NVDA
2018-12-19 00:00:00-05:00,22.5066661834717,23.1340007781982,21.9826679229736,22.1979999542236,124113000,0.0,0.0,TSLA
2018-12-20 00:00:00-05:00,34.2771977724347,35.1777289798748,32.9177210420719,33.5155944824219,74958800,0.0,0.0,NVDA
2018-12-20 00:00:00-05:00,21.8033332824707,22.0193328857422,20.791332244873,21.025333404541,136078500,0.0,0.0,TSLA
2018-12-21 00:00:00-05:00,33.7810359871936,34.1109826738503,31.8683422785412,32.1437110900879,86374000,0.0,0.0,NVDA
2018-12-21 00:00:00-05:00,21.1599998474121,21.5646667480469,20.8293323516846,21.318000793457,120252000,0.0,0.0,TSLA
2018-12-24 00:00:00-05:00,31.3796309211539,32.2454293773975,30.885952373019,31.5259990692139,46384000,0.0,0.0,NVDA
2018-12-24 00:00:00-05:00,20.8999996185303,20.966667175293,19.6800003051758,19.6926670074463,83398500,0.0,0.0,TSLA
2018-12-26 00:00:00-05:00,31.9874299910638,33.0293650445832,30.8760309603032,33.0194435119629,69510000,0.0,0.0,NVDA
2018-12-26 00:00:00-05:00,20.0,21.7980003356934,19.6060009002686,21.7393321990967,122446500,0.0,0.0,TSLA
2018-12-27 00:00:00-05:00,32.4959930267126,32.8408239953281,31.0546472739339,32.5406455993652,63704400,0.0,0.0,NVDA
2018-12-27 00:00:00-05:00,21.3226661682129,21.4780006408691,20.1000003814697,21.0753326416016,128626500,0.0,0.0,TSLA
2018-12-28 00:00:00-05:00,32.7465458506938,34.0836963215145,32.327290226184,33.155876159668,62872800,0.0,0.0,NVDA
2018-12-28 00:00:00-05:00,21.5400009155273,22.4160003662109,21.2273330688477,22.257999420166,149085000,0.0,0.0,TSLA
2018-12-31 00:00:00-05:00,33.5900179119362,33.9150057700184,32.8110471549479,33.1186676025391,46514000,0.0,0.0,NVDA
2018-12-31 00:00:00-05:00,22.5193328857422,22.6140003204346,21.6840000152588,22.1866664886475,94534500,0.0,0.0,TSLA
2019-01-02 00:00:00-05:00,32.4091592373991,34.3541048200876,32.2627929992369,33.7934455871582,50875200,0.0,0.0,NVDA
2019-01-02 00:00:00-05:00,20.4066677093506,21.0086669921875,19.9200000762939,20.6746673583984,174879000,0.0,0.0,TSLA
2019-01-03 00:00:00-05:00,33.190611466622,33.5304835375999,31.6773261968913,31.7517490386963,70555200,0.0,0.0,NVDA
2019-01-03 00:00:00-05:00,20.466667175293,20.6266670227051,19.8253326416016,20.0240001678467,104478000,0.0,0.0,TSLA
2019-01-04 00:00:00-05:00,32.4835836020915,34.1680445036898,32.1759631549156,33.786003112793,58562000,0.0,0.0,NVDA
2019-01-04 00:00:00-05:00,20.3999996185303,21.2000007629395,20.181999206543,21.1793327331543,110911500,0.0,0.0,TSLA
2019-01-07 00:00:00-05:00,34.3590710844658,35.9443017217122,33.8455438007243,35.5746612548828,70916000,0.0,0.0,NVDA
2019-01-07 00:00:00-05:00,21.4479999542236,22.449333190918,21.1833324432373,22.3306674957275,113268000,0.0,0.0,TSLA
2019-01-08 00:00:00-05:00,36.3908427769383,36.4131690604489,33.962138326644,34.6890144348145,78601600,0.0,0.0,NVDA
2019-01-08 00:00:00-05:00,22.7973327636719,22.9340000152588,21.8013324737549,22.3566665649414,105127500,0.0,0.0,TSLA
2019-01-09 00:00:00-05:00,35.2025385824337,35.8450684420726,34.6964572191365,35.3712348937988,61726000,0.0,0.0,NVDA
2019-01-09 00:00:00-05:00,22.3666667938232,22.8999996185303,22.0979995727539,22.5686664581299,81493500,0.0,0.0,TSLA
2019-01-10 00:00:00-05:00,35.1777360051568,36.1154778690226,34.5724203500902,36.0286483764648,52315600,0.0,0.0,NVDA
2019-01-10 00:00:00-05:00,22.2933330535889,23.0259990692139,22.1193332672119,22.9979991912842,90846000,0.0,0.0,TSLA
2019-01-11 00:00:00-05:00,35.8053705498513,37.1499630833273,35.5275222877009,36.9217300415039,87476400,0.0,0.0,NVDA
2019-01-11 00:00:00-05:00,22.8059997558594,23.2273330688477,22.5846672058105,23.1506671905518,75586500,0.0,0.0,TSLA
2019-01-14 00:00:00-05:00,36.3982902108938,37.5741905251386,36.1626150177784,37.3211479187012,73016800,0.0,0.0,NVDA
2019-01-14 00:00:00-05:00,22.8253326416016,22.8333320617676,22.2666664123535,22.2933330535889,78709500,0.0,0.0,TSLA
2019-01-15 00:00:00-05:00,37.6486079971752,38.0430579542201,36.9961603695032,37.1797370910645,61701200,0.0,0.0,NVDA
2019-01-15 00:00:00-05:00,22.3333320617676,23.2533321380615,22.2999992370605,22.9619998931885,90849000,0.0,0.0,TSLA
2019-01-16 00:00:00-05:00,37.4526325749769,37.7825793822881,36.8696431437504,36.9242210388184,47010400,0.0,0.0,NVDA
2019-01-16 00:00:00-05:00,22.9853324890137,23.466667175293,22.8999996185303,23.0699996948242,70375500,0.0,0.0,TSLA
2019-01-17 00:00:00-05:00,36.594265258193,38.0380921157502,36.3213796351673,37.6386833190918,49343600,0.0,0.0,NVDA
2019-01-17 00:00:00-05:00,23.0806674957275,23.4333324432373,22.9433326721191,23.1539993286133,55150500,0.0,0.0,TSLA
2019-01-18 00:00:00-05:00,38.1373278166453,39.1916675533614,37.6213210912516,38.9311828613281,65133600,0.0,0.0,NVDA
2019-01-18 00:00:00-05:00,21.533332824707,21.808666229248,19.9820003509522,20.1506671905518,362262000,0.0,0.0,TSLA
2019-01-22 00:00:00-05:00,38.6285280642442,38.745122150281,36.6041949008313,36.906852722168,66155200,0.0,0.0,NVDA
2019-01-22 00:00:00-05:00,20.3213329315186,20.533332824707,19.7000007629395,19.92799949646,181000500,0.0,0.0,TSLA
2019-01-23 00:00:00-05:00,37.4600688643726,38.3481954546102,36.7232711805659,37.0358505249023,59102000,0.0,0.0,NVDA
2019-01-23 00:00:00-05:00,19.5,19.6333332061768,18.779333114624,19.1726665496826,187950000,0.0,0.0,TSLA
2019-01-24 00:00:00-05:00,37.8817985300958,39.3330674039801,37.8346627452273,39.1569290161133,70897200,0.0,0.0,NVDA
2019-01-24 00:00:00-05:00,18.8686676025391,19.5786666870117,18.6186676025391,19.4340000152588,120183000,0.0,0.0,TSLA
2019-01-25 00:00:00-05:00,38.5615414814031,39.9110967857547,37.5344908143324,39.7299957275391,115457200,0.0,0.0,NVDA
2019-01-25 00:00:00-05:00,19.6259994506836,19.9013328552246,19.3033332824707,19.8026676177979,108744000,0.0,0.0,TSLA
2019-01-28 00:00:00-05:00,33.8753160936064,35.1380420621733,32.4984716886486,34.2375106811523,251152800,0.0,0.0,NVDA
2019-01-28 00:00:00-05:00,19.5273323059082,19.8306674957275,19.1833324432373,19.7586669921875,96349500,0.0,0.0,TSLA
2019-01-29 00:00:00-05:00,33.776076482714,34.2598353104742,32.5009459627827,32.6473159790039,115393200,0.0,0.0,NVDA
2019-01-29 00:00:00-05:00,19.6846675872803,19.9039993286133,19.453332901001,19.8306674957275,69325500,0.0,0.0,TSLA
2019-01-30 00:00:00-05:00,33.4089355795063,34.227600396224,32.6126008413196,34.0837135314941,97422800,0.0,0.0,NVDA
2019-01-30 00:00:00-05:00,20.0300006866455,20.6000003814697,19.8993320465088,20.5846672058105,168754500,0.0,0.0,TSLA
2019-01-31 00:00:00-05:00,34.0514475773676,36.018723260587,33.833139827475,35.6614875793457,84285200,0.0,0.0,NVDA
