model year,make,model,electric vehicle type,vehicle_count
2016,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),10
2016,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),2
2016,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),10
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),992
2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),54
2016,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),10
2016,SMART,FORTWO,Battery Electric Vehicle (BEV),25
2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),887
2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),597
2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),313
2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),102
2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),176
2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),85
2017,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),6
2017,BMW,I3,Battery Electric Vehicle (BEV),104
2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),285
2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),6
2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),146
2017,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),4
2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),1626
2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),1296
2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),88
2017,FIAT,500,Battery Electric Vehicle (BEV),151
2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),256
2017,FORD,FOCUS,Battery Electric Vehicle (BEV),27
2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),326
2017,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),15
2017,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),31
2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),51
2017,KIA,SOUL,Battery Electric Vehicle (BEV),135
2017,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),18
2017,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),2
2017,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),10
2017,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),4
2017,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),1
2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),817
2017,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),77
2017,SMART,FORTWO,Battery Electric Vehicle (BEV),33
2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),76
2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),864
2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),631
2017,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),936
2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),49
2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),116
2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),159
2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),82
2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),193
2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),17
2018,BMW,I3,Battery Electric Vehicle (BEV),104
2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),136
2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),180
2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),8
2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),654
2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),702
2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),547
2018,FIAT,500,Battery Electric Vehicle (BEV),49
2018,FORD,FOCUS,Battery Electric Vehicle (BEV),8
2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),148
2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),632
2018,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),6
2018,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),16
2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),182
2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),36
2018,KIA,SOUL,Battery Electric Vehicle (BEV),70
2018,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),8
