column,count,mean,std,min,25%,50%,75%,max
model year,714.0,2021.3221288515406,4.073984504061684,1999.0,2019.0,2023.0,2024.0,2026.0
vehicle_count,714.0,387.7142857142857,1110.290873096409,1.0,24.0,103.0,365.25,17968.0
