column,count,mean,std,min,25%,50%,75%,max
year,16436.0,2018.8523363348747,4.271488173101311,2010.0,2016.0,2019.0,2022.0,2030.0
ev_sales,16436.0,267826.67855679523,3325612.7025237796,1.2e-06,1.0,49.0,2500.0,170000000.0
