column,count,mean,std,min,25%,50%,75%,max
Open,3356.0,133.28837979486087,116.57056522307657,12.0733327865601,30.837500095367453,103.6773331798055,220.71583938598624,502.118639982973
High,3356.0,136.09712470510925,118.79930158407227,12.4453325271606,31.6599998474121,105.8352256851515,224.449539651204,505.480010986328
Low,3356.0,130.32291561608866,114.10534004745047,11.7993326187134,30.00750017166135,101.8106634571235,214.87416839599624,492.220001220703
Close,3356.0,133.29925475615005,116.50393034285435,11.9313325881958,30.7700004577637,104.01398849487299,220.22489547729475,504.089996337891
Volume,3356.0,70581103.06525625,74258621.63807161,1962700.0,21714800.0,50026350.0,92867175.0,914082000.0
Dividends,3356.0,0.00023837902264600716,0.0030791494742725667,0.0,0.0,0.0,0.0,0.04
Stock Splits,3356.0,0.003575685339690107,0.12202598215418144,0.0,0.0,0.0,0.0,5.0
